質問（スイーツ、料理、グルメ),A,B,C,D,正解
エッグタルト発祥の地はどこ?,ポルトガル,日本,韓国,ギリシャ,A
宮城県の気仙沼で珍味として食べられている食べ物は何？,犬の肉,サメの心臓,カンガルーの尻尾,ゾウの鼻,B
レアチーズケーキの「レア」はどんな意味？,やわらかい,とろける,生,高級,C
アサイーの原産国はどこ?,韓国,日本,フィリピン,ブラジル,D
この中でスペイン発祥の食べ物は？,カヌレ,マドレーヌ,モンブラン,チュロス,D
韓国料理「チュクミ」の〆に食べる、とびこをトッピングした焼き飯の料理名は何？,アニマルチャーハン,トビコチャーハン,アルマニチャーハン,辛チャーハン,C
かっぱえびせんの日はいつ？,5月8日,8月10日,5月18日,8月8日,B
フィッシュ・アンド・チップスの発祥の地は？,イギリス,フランス,ドイツ,スイス,Ａ
メレンゲは何から作られている？,ゼラチン,卵白,牛乳,大豆,B
マカロンの発祥の地はどこですか？,イタリア,フランス,日本,オーストリア,A
ビビンバの「ビビム」とは韓国語でどういう意味か,混ぜる,焼く,食べる,辛い,A
インドの主食は何か,米,パン,ナン,チャパティ,D
シナモンなどのスパイスが効いたインド式のミルクティーは何か？,チャイ,チョイ,テイ,チュイ,Ａ
サムギョプサルの「サム」とは韓国語でどういう意味か,3,肉,包む,森,A
骨の中心部の周りにお肉がついた料理で、人類の夢と言われている料理の名前は何？,ステーキ,手羽先,マンガ肉,あぶりカルビ,C
シュークリームの「シュー」はどんな意味？,ジャガイモ,レタス,タマネギ,キャベツ,D
イチゴの品種「あまりん」「かおりん」「べにたま」は何県の品種？,栃木県,埼玉県,長野県,神奈川県,B
群馬県にあるのは？,こんにゃくパーク,まんじゅうパーク,いちごランド,うどんランド,Ａ
サイゼリアのメニューの材料に使われている昆虫は？？,カタツムリ,ナメクジ,アリ,イナゴ,Ａ
「グラコロ」や「三角チョコパイ」などの人気メニューがあるチェーン店の名前は？,ピザハット,タコベル,ミスタードーナツ,マクドナルド,D
お正月に食べる料理は何ですか？,おせち料理,精進料理,ハンバーガー,肉まん,A
